Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
Asshole	No Cure For Cancer	100	Denis Leary	331yCUzz2vctjIEZQjPpRl	266173	False	1	0.378	0.664	2	-10.652	1	0.249	0.554	0	0.649	0.154	172.866	3
Creep	Pablo Honey	99	Radiohead	0fuLRqMU6IaRoNAFIUdjPx	238640	True	5	0.515	0.43	7	-9.935	1	0.0369	0.0102	0.000141	0.104	0.129	91.841	4
Linger	Everybody Else Is Doing It, So Why Can't We?	98	The Cranberries	0gEyKnHvgkrkBM6fbeHdwK	274706	False	75	0.439	0.434	7	-14.918	1	0.0265	0.0783	4.87e-05	0.204	0.14	94.845	4
No Rain	Blind Melon	97	Blind Melon	6txWz9UapYHVxEd7dDIHXT	217106	False	73	0.389	0.476	9	-9.342	1	0.0316	0.619	5.09e-05	0.566	0.255	148.117	4
Cannonball	Last Splash	96	The Breeders	11nv53N7ZnNTCgyl8yxvYd	213693	False	12	0.506	0.761	3	-9.765	1	0.0404	0.00938	0.782	0.745	0.298	112.511	4
Killing In the Name	Rage Against The Machine	95	Rage Against The Machine	3FUS56gKr9mVBmzvlnodlh	313666	True	56	0.457	0.779	7	-6.323	1	0.257	0.0185	2.04e-06	0.734	0.0247	86.573	4
Lemon	Zooropa	94	U2	02d6RIbA7iGRugnvUmurVV	418226	False	2	0.616	0.652	6	-14.76	1	0.0348	0.00444	0.0115	0.326	0.0427	116.136	4
Why Go	Ten	93	Pearl Jam	5cGMwBNKU734YfdDaLfvmS	199373	False	0	0.321	0.965	9	-7.255	1	0.0923	0.00669	7.72e-06	0.311	0.602	116.25	4
The Honeymoon Is Over	The Honeymoon Is Over	92	The Cruel Sea	5W52WxNMAOlvAuE64v6d9U	186000	False	49	0.464	0.754	1	-7.286	1	0.104	0.00996	0.0078	0.587	0.308	94.438	4
Stone Me Into The Groove	A Car Crash In The Blue	91	Atomic Swing	4DqXylovNpwoJuIwGxtegd	243160	False	42	0.444	0.963	5	-3.817	1	0.103	0.0142	0.0932	0.549	0.357	117.426	4
Everybody Hurts	Automatic For The People (U.S. Version)	90	R.E.M.	4tCWWnk3BXinf7FllmSyHW	318240	False	21	0.254	0.383	2	-8.036	1	0.0282	0.614	0.0237	0.178	0.172	188.2	3
Plush	Core	89	Stone Temple Pilots	3jJZVeExYzVYiV6Y9Fl3DX	310346	False	64	0.423	0.954	7	-3.157	0	0.047	0.0021	0	0.5	0.177	144.553	4
Soul To Squeeze	Greatest Hits	88	Red Hot Chili Peppers	7IW1SeFqY4VmvFXBOToMsS	289533	False	37	0.663	0.546	5	-5.234	1	0.0269	0.0322	0.000572	0.656	0.107	88.171	4
I Held Her In My Arms	The Blind Leading The Naked	87	Violent Femmes	6F1GVsTES1GpzWIuriUNsF	172506	False	10	0.593	0.688	9	-10.984	1	0.0343	0.0237	0	0.428	0.284	106.12	4
Wild America	American Caesar	86	Iggy Pop	5TbcfeXmNC6K0iEKYRZV68	345400	True	19	0.404	0.986	3	-6.531	1	0.103	0.017	0.0292	0.0904	0.633	125.396	4
Sister Havana	Saturation	85	Urge Overkill	6E8hhcSnvtevktpFSnHmjK	233226	False	38	0.601	0.802	5	-8.877	1	0.0341	0.00117	0.0157	0.767	0.259	136.756	4
Hits from the Bong	Black Sunday	84	Cypress Hill	1BZPxM9mXiSwlxOKJRo17Y	160973	True	0	0.799	0.586	10	-13.289	0	0.177	0.0065	0.748	0.521	0.283	92.17	4
Go West - 2001 Remastered Version; Contains Hidden Track 'Postscript'	Very: Further Listening 1992-1994	83	Pet Shop Boys	5e8iZMsGsB8Xvv5iA9xKu2	504000	False	0	0.461	0.204	0	-6.076	1	0.0397	0.0213	0.000129	0.733	0.372	120.705	4
Buffalo Stance - 12'' Version	Playlist: Dance	82	Neneh Cherry	3cHU8N4XUz0ASLQsMssfDn	343746	False	36	0.709	0.684	1	-9.025	1	0.0584	0.0117	1.88e-05	0.757	0.341	107.252	4
