Name,Album,Artist,Track_id,Duration,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Valence,Liveness,Tempo,Time_Signature,Year
i - ã‚¯ãƒªãƒ¼ãƒ³ãƒ»ãƒ´ã‚¡ãƒ¼ã‚¸ãƒ§ãƒ³,,Kendrick Lamar,2ni7gpmGIFGSmctvMxKH9Y,232066,FALSE,0.753,0.892,10,-5.313,0,0.0562,0.0228,0.0000054,0.881,0.245,121.937,4,2014
7,,Catfish and the Bottlemen,0KyzyuqavrbYKaXGK0AreL,256306,FALSE,0.524,0.726,10,-4.92,1,0.0437,0.000238,0.00276,0.311,0.0978,155.089,4,2016
! (The Song Formerly Known As),! (The Song Formerly Known As,Regurgitator,6hJ6Lr8LwMMRKXz8ephBH3,206666,TRUE,0.643,0.934,11,-3.579,1,0.0874,0.000171,0.00379,0.638,0.218,114.821,4,1998
Modern Life,! (The Song Formerly Known As,Regurgitator,3J8jpUwBScoeursSOIraHm,134680,TRUE,0.605,0.829,4,-3.804,0,0.0756,0.00227,0.2,0.556,0.104,136.004,4,1998
! (The Song Formerly Known As) - Retrotech Adjustment,! (The Song Formerly Known As,Regurgitator,5g8tTotmgbqYMrABV50BHl,210173,FALSE,0.835,0.821,0,-6.653,1,0.106,0.0517,0.766,0.764,0.0281,130.005,4,1998
I Like Your Old Remix Better Than Your New Remix,! (The Song Formerly Known As,Regurgitator,0yiGcr6FGhW9fX65h4pEkC,180373,FALSE,0.547,0.934,2,-4.593,1,0.0986,0.0322,0.0000012,0.758,0.104,166.68,4,1998
(If You're Wondering If I Want You To) I Want You To,(If You're Wondering If I Want You To) I Want You T,Weezer,4tWewq54FvRY9drV6DSlIU,208560,FALSE,0.678,0.892,11,-5.114,0,0.0393,0.000831,0.00148,0.783,0.0554,110.026,4,2009
Hello,(What's The Story) Morning Glor,Oasis,4gq08vt7IV7sNlgLFNQZw9,202773,FALSE,0.343,0.953,9,-3.628,0,0.095,0.000349,0.0321,0.0977,0.171,132.415,4,1995
Roll With It,(What's The Story) Morning Glor,Oasis,0iz3SjHib0OvI2e4Y4xEu0,239826,FALSE,0.231,0.985,9,-1.773,0,0.108,0.00445,0.000139,0.195,0.295,126.788,4,1995
Wonderwall,(What's The Story) Morning Glor,Oasis,5bj4hb0QYTs44PDiwbI5CS,258906,FALSE,0.413,0.85,2,-5.593,1,0.0362,0.00228,0,0.481,0.124,174.423,4,1995
Don't Look Back In Anger,(What's The Story) Morning Glor,Oasis,7H0jlAh4VoUtdeBUurXae9,287826,FALSE,0.354,0.914,0,-3.613,1,0.0672,0.0316,0.00000711,0.241,0.119,164.012,4,1995
Hey Now,(What's The Story) Morning Glor,Oasis,0B4SrsRN9eRY3eB4H2TFpR,341573,FALSE,0.178,0.948,11,-1.618,0,0.0602,0.0000762,0.000462,0.204,0.258,202.668,4,1995
The Swamp Song,(What's The Story) Morning Glor,Oasis,54wiqHqjmNj36dGk3elxN0,44600,FALSE,0.274,0.798,10,-6.092,1,0.0524,0.0000178,0.821,0.127,0.552,142.631,4,1995
Some Might Say,(What's The Story) Morning Glor,Oasis,2j4l3NjUbc7Rn5QyiOPHEf,328533,FALSE,0.243,0.953,0,-2.295,0,0.0843,0.0504,0.0429,0.15,0.154,110.254,4,1995
Cast No Shadow,(What's The Story) Morning Glor,Oasis,5zwyQT5gJ0VX5zJoFMDLt7,291600,FALSE,0.438,0.802,7,-5.229,1,0.0291,0.00254,0,0.572,0.15,159.928,4,1995
She's Electric,(What's The Story) Morning Glor,Oasis,2P17rrqMxe014BjoUjsjpL,220533,FALSE,0.533,0.918,4,-3.122,1,0.0437,0.172,0,0.483,0.533,125.544,4,1995
