Position,Song,Artist,Country of Origin,Year
100,Happy Sad ,Ocean Alley , Australia,2018
99,Polygraph Eyes ,Yungblud , United Kingdom,2018
98,Ghost Town ,Kanye West featuring PartyNextDoor , United States/ Canada,2018
97,Do I Need You Now? ,DMA's , Australia,2018
96,Take It To The Heart ,Odette , Australia,2018
95,Four Out Of Five ,Arctic Monkeys , United Kingdom,2018
94,Ivy (Doomsday) ,The Amity Affliction , Australia,2018
93,You Can Count On Me ,Trophy Eyes , Australia,2018
92,Everybody But You ,Thundamentals , Australia,2018
91,Sundress ,ASAP Rocky , United States,2018
90,Psycho (feat. Ty Dolla $ign),Post Malone featuring Ty Dolla Sign , United States,2018
89,Dazed & Confused ,Ruel , Australia,2018
88,Labrador ,Waax , Australia,2018
87,Younger ,Ruel , Australia,2018
86,Dirt Cheap ,Lime Cordiale , Australia,2018
85,Bubblin ,Anderson Paak , United States,2018
84,Cigarettes ,Tash Sultana , Australia,2018
83,1999 WILDFIRE,Brockhampton , United States,2018
82,Hunger ,Florence and the Machine , United Kingdom,2018
81,Ballroom ,Jack River , Australia,2018
80,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson featuring Miley Cyrus , United Kingdom/ United States,2018
79,Clumsy Love ,Thelma Plum , Australia,2018
78,Better Together ,Hayden James featuring Running Touch , Australia,2018
77,Miracle ,Chvrches , United Kingdom,2018
76,Clarity ,Polish Club , Australia,2018
75,Molotov ,Kira Puru , Australia,2018
74,Pussy Is God ,King Princess , United States,2018
73,Sweet Release ,Hockey Dad , Australia,2018
72,What Can I Do If The Fire Goes Out? (triple j Like A Version) ,Nothing But Thieves , United Kingdom,2018
71,Smogged Out ,Skegss , Australia,2018
70,UFO ,Mallrat featuring Allday , Australia,2018
69,Cheetah Tongue ,The Wombats , United Kingdom,2018
68,Eastside (with Halsey & Khalid),"Benny Blanco, Halsey and Khalid ", United States,2018
67,Tints (feat. Kendrick Lamar),Anderson Paak featuring Kendrick Lamar , United States,2018
66,Need You ,Flight Facilities featuring Nïka , Australia/ New Zealand,2018
65,Scream Whole ,Methyl Ethel , Australia,2018
64,Mistake ,Middle Kids , Australia,2018
63,BOOGIE ,Brockhampton , United States,2018
62,Killing My Time ,G Flip , Australia,2018
61,I Wanna Be Everybody ,Hockey Dad , Australia,2018
60,The End ,DMA's , Australia,2018
59,Give Me My Name Back ,Meg Mac , Australia,2018
58,Soaked ,Bene , New Zealand,2018
57,Martini ,The Presets , Australia,2018
56,Without Me ,Halsey , United States,2018
55,Wasted ,Peking Duk , Australia,2018
54,Saturday Sun ,Vance Joy , Australia,2018
53,We're Going Home ,Vance Joy , Australia,2018
52,Better ,Khalid , United States,2018
51,Mr La Di Da Di ,Baker Boy , Australia,2018
50,No Place ,Rüfüs Du Sol , Australia,2018
49,Missing Me ,Angie McMahon , Australia,2018
48,When I Dream ,San Cisco , Australia,2018
47,Like People ,DZ Deathrays , Australia,2018
46,you should see me in a crown,Billie Eilish , United States,2018
45,MANTRA ,Bring Me the Horizon , United Kingdom,2018
44,Clark Griswold ,Hilltop Hoods featuring Adrian Eagle , Australia,2018
43,God's Plan ,Drake , Canada,2018
42,Laps Around The Sun ,Ziggy Alberts , Australia,2018
41,In The Air ,DMA's , Australia,2018
40,Nice For What ,Drake , Canada,2018
39,The Perfect Life Does Not Exist ,Ball Park Music , Australia,2018
38,About You ,G Flip , Australia,2018
37,Love Me Now ,Ziggy Alberts , Australia,2018
36,All Loved Up ,Amy Shark , Australia,2018
35,Ladders ,Mac Miller , United States,2018
34,1950,King Princess , United States,2018
33,Better Now ,Post Malone , United States,2018
32,God Forgot ,The Rubens , Australia,2018
31,Church ,Alison Wonderland , Australia,2018
30,Sometimes ,Cub Sport , Australia,2018
29,Fire ,Peking Duk , Australia,2018
28,All the Stars (with SZA),Kendrick Lamar and SZA , United States,2018
27,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone and Swae Lee , United States,2018
26,All The Pretty Girls ,Vera Blue , Australia,2018
25,I Miss You ,Thundamentals , Australia,2018
24,Leave Me Lonely ,Hilltop Hoods , Australia,2018
23,Treat You Better ,Rüfüs Du Sol , Australia,2018
22,Underwater ,Rüfüs Du Sol , Australia,2018
21,Never Ever (feat. Sarah),The Rubens featuring Sarah , Australia,2018
20,Waiting ,Kian , Australia,2018
19,Peach ,Broods , New Zealand,2018
18,Join the Club ,Hockey Dad , Australia,2018
17,lovely (with Khalid) ,Billie Eilish and Khalid , United States,2018
16,Baby Come Back,Ocean Alley , Australia,2018
15,Just Friends ,Hayden James featuring Boy Matthews , Australia/ United Kingdom,2018
14,I'm Good ,Wafia , Australia,2018
13,Praise the Lord (Da Shine) (feat. Skepta),ASAP Rocky featuring Skepta , United States/ United Kingdom,2018
12,Turn ,The Wombats , United Kingdom,2018
11,Up In The Clouds ,Skegss , Australia,2018
10,Knees ,Ocean Alley , Australia,2018
9,Dinosaurs ,Ruby Fields , Australia,2018
8,when the party's over,Billie Eilish , United States,2018
7,Groceries ,Mallrat , Australia,2018
6,Be Alright ,Dean Lewis , Australia,2018
5,I Said Hi ,Amy Shark , Australia,2018
4,This Is America ,Childish Gambino , United States,2018
3,SICKO MODE,Travis Scott , United States,2018
2,Losing It ,Fisher , Australia,2018
1,Confidence ,Ocean Alley , Australia,2018
1,HUMBLE.,Kendrick Lamar , United States,2017
2,Let Me Down Easy ,Gang of Youths , Australia,2017
3,Chateau ,Angus & Julia Stone , Australia,2017
4,Ubu ,Methyl Ethel , Australia,2017
5,"The Deepest Sighs, the Frankest Shadows ",Gang of Youths , Australia,2017
6,Green Light ,Lorde , New Zealand,2017
7,Go Bang ,Pnau , Australia,2017
8,Sally ,Thundamentals featuring Mataya , Australia,2017
9,Lay It On Me ,Vance Joy , Australia,2017
10,What Can I Do If the Fire Goes Out? ,Gang of Youths , Australia,2017
11,SWEET,Brockhampton , United States,2017
12,Fake Magic ,Peking Duk and AlunaGeorge , Australia/ United Kingdom,2017
13,Young Dumb & Broke ,Khalid , United States,2017
14,Homemade Dynamite ,Lorde , New Zealand,2017
15,Regular Touch ,Vera Blue , Australia,2017
16,Feel the Way I Do ,The Jungle Giants , Australia,2017
17,Marryuna ,Baker Boy featuring Yirrmal , Australia,2017
18,Exactly How You Are ,Ball Park Music , Australia,2017
19,The Man ,The Killers , United States,2017
